FT1,FT,Fietstrommel,ESSENBURGSNGL,9,51.92293167,4.46130991,Delfshaven,A,19-05-2010
FT10,FT,Fietstrommel,PANNEKOEKSTR,97,51.92206955,4.48883009,Centrum,A,07-06-2009
FT100,FT,Fietstrommel,SCHIEKD,155,51.92634964,4.47619009,Noord,A,08-07-2010
FT101,FT,Fietstrommel,SCHIEKD,55,51.92972183,4.471380234,Noord,A,08-07-2010
FT102,FT,Fietstrommel,NOORDSNGL,72,51.93019867,4.478919983,Noord,A,08-07-2010
FT103,FT,Fietstrommel,SCHEPENSTR,48,51.93014908,4.466259956,Noord,A,08-07-2010
FT104,FT,Fietstrommel,SCHEPENSTR,34,51.93059921,4.466469765,Noord,A,08-07-2010
FT105,FT,Fietstrommel,S GRAVENDYKWAL,24,51.91860962,4.463260174,Centrum,A,08-07-2010
FT106,FT,Fietstrommel,K BAJONETSTR,4,51.91849136,4.464799881,Centrum,A,08-07-2010
FT107,FT,Fietstrommel,BREITNERSTR,115,51.91304016,4.467279911,Centrum,A,20-04-2011
FT108,FT,Fietstrommel,MAASKD,146,51.91186905,4.490469933,Feijenoord,A,08-07-2010
FT109,FT,Fietstrommel,AKELEISTR,17,51.92136002,4.463809967,Centrum,A,08-07-2010
FT11,FT,Fietstrommel,KORTENAERSTR,1,51.91389084,4.478149891,Centrum,A,07-06-2009
FT110,FT,Fietstrommel,ROCHUSSENSTR,105,51.91262817,4.466289997,Centrum,A,08-07-2010
FT111,FT,Fietstrommel,W DE WITHHOF,4,51.91598892,4.479259968,Centrum,A,07-06-2009
FT112,FT,Fietstrommel,ORCHIDEESTR,4,51.94322968,4.473919868,Hillegersberg,A,07-06-2009
FT113,FT,Fietstrommel,SAENREDAMPLN,7,51.93852997,4.422210217,Overschie,A,08-07-2010
FT114,FT,Fietstrommel,SAENREDAMPLN,7,51.93852997,4.42222023,Overschie,A,08-07-2010
FT115,FT,Fietstrommel,GR FLORISSTR,22,51.92086029,4.459169865,Delfshaven,A,08-07-2010
FT116,FT,Fietstrommel,GR FLORISSTR,100,51.91913986,4.456970215,Delfshaven,A,16-07-2010
FT117,FT,Fietstrommel,GR FLORISSTR,50,51.92021942,4.458360195,Delfshaven,A,07-06-2009
FT118,FT,Fietstrommel,BEUKELSDK,14,51.92173004,4.459070206,Delfshaven,A,08-07-2010
FT119,FT,Fietstrommel,C DE VRIESELN,64,51.91563034,4.45953989,Delfshaven,A,07-06-2009
FT12,FT,Fietstrommel,ENGELSESTR,135,51.91588974,4.417230129,Delfshaven,A,07-06-2009
FT120,FT,Fietstrommel,MATHENESSERLN,244,51.91450119,4.461639881,Delfshaven,A,07-06-2009
FT121,FT,Fietstrommel,MATHENESSERLN,362,51.91342163,4.45250988,Delfshaven,A,08-07-2010
FT122,FT,Fietstrommel,SCHIETBAANLN,182,51.91566849,4.459300041,Delfshaven,A,08-07-2010
FT123,FT,Fietstrommel,V CITTERSSTR,44,51.91836929,4.446209908,Delfshaven,A,08-07-2010
FT124,FT,Fietstrommel,MATHENESSERLN,424,51.91419983,4.449440002,Delfshaven,A,08-07-2010
FT125,FT,Fietstrommel,BURG MEINESZLN,9,51.9174881,4.45386982,Delfshaven,A,08-07-2010
FT126,FT,Fietstrommel,ESSENBURGSNGL,125,51.92129898,4.446499825,Delfshaven,A,08-07-2010
FT127,FT,Fietstrommel,MATHENESSERDK,390,51.91167068,4.446829796,Delfshaven,A,08-07-2010
FT129,FT,Fietstrommel,NOORDSNGL,146,51.93138123,4.475900173,Noord,A,08-07-2010
FT13,FT,Fietstrommel,ENGELSESTR,135,51.91588974,4.417240143,Delfshaven,A,07-06-2009
FT130,FT,Fietstrommel,NOORDERHAVENKD,111,51.93309021,4.46036005,Noord,A,08-07-2010
FT131,FT,Fietstrommel,NOORDERHAVENKD,113,51.93304825,4.460400105,Noord,A,08-07-2010
FT132,FT,Fietstrommel,LUMEYSTR,13,51.92781067,4.462790012,Noord,A,08-07-2010
FT133,FT,Fietstrommel,BOISOTSTR,16,51.92773819,4.462749958,Noord,A,08-07-2010
FT134,FT,Fietstrommel,STATENSNGL,136,51.926651,4.456689835,Noord,A,08-07-2010
FT135,FT,Fietstrommel,SCHIEBROEKSELN,54,51.93677139,4.475349903,Noord,A,08-07-2010
FT136,FT,Fietstrommel,SCHIEBROEKSELN,63,51.93632889,4.475689888,Noord,A,08-07-2010
FT137,FT,Fietstrommel,PUTSELN,218,51.89741135,4.496399879,Feijenoord,A,08-07-2010
FT138,FT,Fietstrommel,DORDTSELN,92,51.89480972,4.494130135,Feijenoord,A,08-07-2010
FT139,FT,Fietstrommel,PUTSEBOCHT,194,51.89268112,4.494649887,Feijenoord,A,10-08-2010
FT14,FT,Fietstrommel,C DE VRIESELN,41,51.9164505,4.459209919,Delfshaven,A,06-07-2010
FT140,FT,Fietstrommel,MAASKD,137,51.9120903,4.490839958,Feijenoord,A,08-07-2010
FT141,FT,Fietstrommel,MAASKD,80,51.91442871,4.494780064,Feijenoord,A,08-07-2010
FT142,FT,Fietstrommel,MAASKD,137,51.9120903,4.490839958,Feijenoord,A,08-07-2010
FT143,FT,Fietstrommel,MAASKD,102,51.9134903,4.493199825,Feijenoord,A,08-07-2010
FT144,FT,Fietstrommel,GOEDE HOOPSTR,40,51.89842987,4.49698019,Feijenoord,A,08-07-2010
FT145,FT,Fietstrommel,DIERGAARDESNGL,90,51.92134094,4.469309807,Centrum,A,08-07-2010
FT146,FT,Fietstrommel,DIERGAARDESNGL,90,51.92134094,4.46931982,Centrum,A,08-07-2010
FT147,FT,Fietstrommel,KRALINGSE PLASLN,91,51.9317894,4.508470058,Kralingen/Crooswijk,A,08-07-2010
FT148,FT,Fietstrommel,CROOSWYKSESNGL,16,51.92974091,4.489659786,Kralingen/Crooswijk,A,08-07-2010
FT149,FT,Fietstrommel,JERICHOLN,81,51.93013,4.506299973,Kralingen/Crooswijk,A,08-07-2010
FT15,FT,Fietstrommel,C DE VRIESELN,41,51.9164505,4.459219933,Delfshaven,A,07-06-2009
FT150,FT,Fietstrommel,1E JERICHOSTR,93,51.92967987,4.506490231,Kralingen/Crooswijk,A,08-07-2010
FT151,FT,Fietstrommel,1E JERICHOSTR,91A,51.92964935,4.506609917,Kralingen/Crooswijk,A,08-07-2010
FT152,FT,Fietstrommel,DORPSWG,53,51.89007187,4.472430229,Charlois,A,08-07-2010
FT153,FT,Fietstrommel,OOSTVOORNSESTR,9,51.89070892,4.468589783,Charlois,A,08-07-2010
FT154,FT,Fietstrommel,SAFTLEVENSTR,2,51.91334915,4.465499878,Centrum,A,08-07-2010
FT155,FT,Fietstrommel,V BYLANDTPLAATS,36,51.91901016,4.476240158,Centrum,A,08-07-2010
FT156,FT,Fietstrommel,SCHEEPSTIMMERM LN,27,51.91025925,4.478020191,Centrum,A,08-07-2010
FT157,FT,Fietstrommel,KORTENAERSTR,32,51.91352844,4.476719856,Centrum,A,08-07-2010
FT158,FT,Fietstrommel,VEERKD,5,51.90819168,4.479239941,Centrum,A,08-07-2010
FT159,FT,Fietstrommel,VEERKD,5,51.90819168,4.479249954,Centrum,A,08-07-2010
FT16,FT,Fietstrommel,C DE VRIESELN,43,51.91638947,4.459209919,Delfshaven,A,07-06-2009
FT160,FT,Fietstrommel,WESTERSTR,24,51.90943146,4.481709957,Centrum,A,08-07-2010
FT161,FT,Fietstrommel,WYNHAVEN,19,51.91852188,4.49090004,Centrum,A,08-07-2010
FT162,FT,Fietstrommel,STATIONSSNGL,91,51.92594147,4.463940144,Noord,A,19-07-2011
FT163,FT,Fietstrommel,WESTZEEDK,341,51.91072083,4.473810196,Centrum,A,16-09-2010
FT164,FT,Fietstrommel,BLEKERSTR,8,51.91561127,4.481190205,Centrum,A,30-05-2012
FT165,FT,Fietstrommel,GOUDSESNGL,266,51.92427826,4.489580154,Centrum,A,08-07-2010
FT166,FT,Fietstrommel,ORANJESTR,29,51.9428215,4.422770023,Overschie,A,08-07-2010
FT167,FT,Fietstrommel,BREITNERSTR,17-A,51.91588974,4.470170021,Centrum,A,08-07-2010
FT168,FT,Fietstrommel,BREITNERSTR,17-A,51.91588974,4.470180035,Centrum,A,08-07-2010
FT169,FT,Fietstrommel,ROCHUSSENSTR,29,51.91553879,4.470449924,Centrum,A,08-07-2010
FT17,FT,Fietstrommel,C DE VRIESELN,52,51.91595078,4.459499836,Delfshaven,A,07-06-2009
FT170,FT,Fietstrommel,ROCHUSSENSTR,31,51.91547012,4.470369816,Centrum,A,08-07-2010
FT171,FT,Fietstrommel,ROCHUSSENSTR,33,51.91539001,4.470290184,Centrum,A,08-07-2010
FT172,FT,Fietstrommel,ROCHUSSENSTR,35,51.91530991,4.470220089,Centrum,A,08-07-2010
FT174,FT,Fietstrommel,2E JERICHOSTR,15,51.9306488,4.507649899,Kralingen/Crooswijk,A,08-07-2010
FT175,FT,Fietstrommel,2E JERICHOSTR,15,51.9306488,4.507659912,Kralingen/Crooswijk,A,08-07-2010
