2013122627-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,01-STRAND-EN-DUIN,BADWEG,ZO,21/04/2013,12.30,ZO,21/04/2013,16.30,2013,4,ZO,12.00-17.59,DAMES,FIETS,MERIDA,FREESPORT-EIGHT,ZWART
2012365646-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,PRINS-HENDRIKSTRAAT,MA,04/06/2012,21.00,DI,05/06/2012,09.00,2012,6,DI,00.00-05.59,0,FIETS,ONBEKEND,0,0
2012405478-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,01-STRAND-EN-DUIN,BADWEG,VR,06/07/2012,07.40,VR,06/07/2012,19.00,2012,7,VR,12.00-17.59,HEREN,FIETS,BATAVUS,CANTATE,MEERKLEURIG
2011207199-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,STATIONSWEG,DI,05/07/2011,08.00,DI,05/07/2011,18.45,2011,7,DI,12.00-17.59,DAMES,FIETS,KAPTEIN,CETO,ZWART
2012397422-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,PRINS-HENDRIKSTRAAT,ZA,30/06/2012,23.00,ZO,01/07/2012,10.00,2012,7,ZO,00.00-05.59,HEREN,FIETS,GIANT,AMBITION,GRIJS
2011211966-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,PASTOOR-ONDERWATERHOF,ZO,10/07/2011,09.50,ZO,10/07/2011,16.10,2011,7,ZO,12.00-17.59,DAMES,FIETS,SPARTA,PALLAS-DLI61-N7,WIT
2011211057-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,STATIONSWEG,VR,01/07/2011,15.00,VR,01/07/2011,21.00,2011,7,VR,18.00-23.59,DAMES,FIETS,GAZELLE,PRIMEUR-TROMM.K,ONBEKEND
2011071463-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,HUIBREGT-MEIJBOOMSTRAAT,ZO,20/02/2011,18.00,VR,25/02/2011,09.00,2011,2,WO,00.00-05.59,KINDER,FIETS,ALTRA,.,BLAUW
2012410927-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,HARWICHWEG,ZA,14/07/2012,01.00,ZA,14/07/2012,09.00,2012,7,ZA,00.00-05.59,KINDER,FIETS,LIBERTY,CRUISER,WIT
2011071388-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,01-STRAND-EN-DUIN,RONDGANG,ZO,06/03/2011,14.00,ZO,06/03/2011,17.40,2011,3,ZO,12.00-17.59,CROSS,FIETS,BMX,NEXT,BLAUW
2011207173-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,STATIONSWEG,DO,07/07/2011,08.25,DO,07/07/2011,13.45,2011,7,DO,06.00-11.59,DAMES,FIETS,KOGA-MIYATA,DAMESFIETS,BLAUW
2012407161-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,DE-HOUTMANSTRAAT,DO,12/07/2012,15.30,DO,12/07/2012,20.00,2012,7,DO,12.00-17.59,ELEKTRISCHE,FIETS,SPARTA,0,GRIJS
2011221362-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,STATIONSWEG,DO,21/07/2011,07.30,DO,21/07/2011,15.15,2011,7,DO,06.00-11.59,DAMES,FIETS,GAZELLE,LOCOMOTIEF,BEIGE
2012373736-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,STATIONSWEG,WO,06/06/2012,07.50,WO,06/06/2012,23.00,2012,6,WO,12.00-17.59,DAMES,FIETS,GAZELLE,.,BLAUW
